#ToyEvents in each AD
0 7425250.363562
#Events in each cell for AD 0 
0 0 0 31679.189434 
0 0 1 15154.557813 
0 0 2 5965.715456 
0 0 3 4708.179513 
0 0 4 4728.125166 
0 0 5 4693.570208 
0 0 6 4809.641863 
0 0 7 5605.554155 
0 0 8 20178.194847 
0 0 9 86834.154327 
0 1 0 47369.737064 
0 1 1 20026.734334 
0 1 2 6355.576463 
0 1 3 5153.105456 
0 1 4 5120.302264 
0 1 5 5044.613494 
0 1 6 5143.197655 
0 1 7 6129.944426 
0 1 8 25557.620301 
0 1 9 109852.342722 
0 2 0 62519.260310 
0 2 1 23639.788414 
0 2 2 6464.700836 
0 2 3 5267.799289 
0 2 4 5430.214660 
0 2 5 5347.826812 
0 2 6 5213.660452 
0 2 7 6197.989513 
0 2 8 28915.861910 
0 2 9 122134.742183 
0 3 0 80541.726141 
0 3 1 26607.599572 
0 3 2 8577.507116 
0 3 3 7343.443718 
0 3 4 7373.778893 
0 3 5 7637.709033 
0 3 6 7510.214704 
0 3 7 8476.211488 
0 3 8 34005.575357 
0 3 9 130066.785301 
0 4 0 99018.244177 
0 4 1 38040.007088 
0 4 2 19671.482101 
0 4 3 18674.172448 
0 4 4 19111.220256 
0 4 5 20058.192840 
0 4 6 19403.056704 
0 4 7 20725.530771 
0 4 8 45808.832577 
0 4 9 138643.487933 
0 5 0 122798.325783 
0 5 1 65485.519975 
0 5 2 50354.696139 
0 5 3 49917.291560 
0 5 4 51005.052667 
0 5 5 51448.117953 
0 5 6 52363.848493 
0 5 7 51528.342061 
0 5 8 74714.922424 
0 5 9 149521.242811 
0 6 0 143302.567378 
0 6 1 118340.303762 
0 6 2 110576.394093 
0 6 3 111446.726033 
0 6 4 115427.704266 
0 6 5 114774.674253 
0 6 6 113948.348517 
0 6 7 115310.033155 
0 6 8 127686.680468 
0 6 9 155861.803313 
0 7 0 154154.358147 
0 7 1 152315.342420 
0 7 2 148847.022312 
0 7 3 153794.966917 
0 7 4 158698.830286 
0 7 5 160157.261596 
0 7 6 155882.771655 
0 7 7 154400.161940 
0 7 8 158058.881797 
0 7 9 152234.163036 
0 8 0 143596.599746 
0 8 1 148940.084034 
0 8 2 150483.336038 
0 8 3 155414.020708 
0 8 4 163465.494517 
